タイトル,投稿日,カテゴリー,Twitter,Instagram,ステータス,AI生成,メモ
6月1日 - 週末の勉強法,2025/06/01,勉強法,【週末の効率的な学習法】土日こそ差がつく時期！当塾では週末特別講座も実施。少人数制だから一人ひとりの進度に合わせた指導が可能です。#高校受験 #週末勉強 #少人数制塾,📚週末の勉強法📚 土日の時間を有効活用しましょう！✅朝型学習のススメ ✅苦手科目の集中対策 ✅1週間の復習時間確保 少人数制の当塾では週末も個別フォローを実施しています。#高校受験 #勉強法 #週末学習 #少人数制塾 #個別指導,予約済み,TRUE,土曜日投稿
6月2日 - 塾の特徴,2025/06/02,塾の特徴,【少人数制のメリット】大手塾では質問しづらい…そんな悩みを解決！当塾は1クラス最大8名。全員の理解度を確認しながら授業を進めます。#少人数制 #高校受験塾 #個別対応,🏫少人数制学習塾の強み🏫 当塾が選ばれる理由：1️⃣1クラス最大8名の少人数制 2️⃣質問しやすい環境 3️⃣個々の理解度に合わせた指導 4️⃣アットホームな雰囲気 5️⃣保護者との密な連携 見学・体験授業受付中！#少人数制塾 #高校受験 #個別指導 #塾選び,予約済み,TRUE,日曜日の定番投稿
6月3日 - 勉強法,2025/06/03,勉強法,【月曜日のモチベーション】新しい1週間の始まり！今週の目標を明確にして計画的に学習を進めましょう。当塾では週間学習計画の立て方も指導します。#月曜日 #勉強法 #高校受験,💪月曜日のスタートダッシュ💪 新しい週の始まり！今週の学習目標を立てましょう。📝週間計画のポイント・具体的な目標設定・優先順位をつける・予備時間も確保・小さな達成感を大切に 少人数制だから一人ひとりの週間計画もサポートします！#月曜日 #勉強法 #週間計画 #高校受験,予約済み,TRUE,月曜定番
6月4日 - 合格体験談,2025/06/04,合格体験談,【合格者の声】「少人数制だから先生との距離が近く分からないことをすぐ聞けました」昨年度T高校合格のMさん。質問しやすい環境が合格の鍵でした！#合格体験談 #高校受験 #少人数制,🎊合格体験記🎊 昨年度T高校合格Mさんの声「大手塾から転塾して正解でした。少人数制なので恥ずかしがらずに質問できる環境が私には合っていました。」「先生が一人ひとりの苦手を把握してくれているので効率的に勉強できました。」次はあなたの番です！✨ #合格体験談 #高校受験 #少人数制塾 #転塾,予約済み,TRUE,実際の生徒の声を編集
6月5日 - 重要ポイント,2025/06/05,重要ポイント,【今週の数学ポイント】連立方程式の文章題攻略法！①問題文を図式化②未知数を設定③式を立てる 少人数制ならつまずきポイントも個別フォロー。#数学 #連立方程式 #高校受験,📐今週の重要ポイント解説📐【連立方程式の文章題】苦手な人が多い単元ですがコツを掴めば得点源に！✏️解法のステップ 1.問題文を整理（図や表に）2.求めるものをx,yとする 3.条件から式を2つ作る 4.計算して検証 少人数制授業で丁寧に解説します！#数学 #連立方程式 #高校受験 #重要ポイント,予約済み,TRUE,今週の授業内容に合わせて
6月6日 - 入試情報,2025/06/06,入試情報,【2025年度入試トレンド】英語の長文読解が年々長文化！速読力と要点把握力が合否を分けます。当塾では個々のレベルに合わせた長文対策を実施中。#入試情報 #英語 #高校受験2025,📊2025年度入試情報📊【英語の出題傾向】近年の変化：📈長文の語数増加（平均800語→1000語）📈実用的な題材の増加 📈記述問題の配点UP 対策ポイント：・毎日10分の音読習慣・キーワード読みの練習・時間配分の訓練 少人数制で個別の読解スピードに対応！#入試情報 #英語 #高校受験 #2025年度入試,予約済み,TRUE,最新の入試動向を反映
6月7日 - モチベーション,2025/06/07,モチベーション,【金曜日の応援メッセージ】1週間お疲れさま！勉強は積み重ね。今週できるようになったことを振り返ってみましょう。小さな成長も大きな一歩です🌟 #頑張れ受験生 #金曜日 #応援,🌟金曜日の応援メッセージ🌟 今週も頑張りました！振り返ってみましょう：✅新しく理解できたこと ✅克服できた苦手 ✅継続できた習慣 どんな小さな進歩も合格への確実な一歩です。週末も一緒に頑張りましょう！💪 #金曜日 #応援メッセージ #高校受験 #モチベーション,予約済み,TRUE,週末前の励まし
6月8日 - 保護者向け,2025/06/08,保護者向け,【保護者の皆様へ】受験期のお子様の体調管理について。睡眠時間の確保と栄養バランスが大切です。当塾では学習面だけでなく生活面のアドバイスも行っています。#保護者向け #受験サポート,👨‍👩‍👧‍👦保護者の皆様へ👨‍👩‍👧‍👦【受験期の体調管理】お子様の健康が第一です：🍙栄養バランスの良い食事 😴最低6時間の睡眠確保 🏃適度な運動でリフレッシュ 💊予防接種の確認 🌡️体調変化の早期発見 少人数制だからこそお子様の体調変化にも気を配っています。ご心配事はいつでもご相談ください。#保護者サポート #体調管理 #高校受験,予約済み,TRUE,保護者との連携重視
6月9日 - 塾の特徴,2025/06/09,塾の特徴,【日曜特別講座のご案内】少人数制を活かした弱点克服講座を開催！1人ひとりの苦手分野に特化した指導で効率的な学力向上を目指します。#日曜講座 #少人数制 #個別対応,📚日曜特別講座📚 少人数制だからできる特別プログラム：🎯弱点克服コース 🎯応用力養成コース 🎯過去問演習コース 各コース最大6名まで！一人ひとりの課題に向き合い確実な成績向上を目指します。詳細はお問い合わせください📞 #日曜講座 #少人数制 #特別講座 #高校受験,予約済み,TRUE,特別講座の告知
6月10日 - 勉強法,2025/06/10,勉強法,【暗記科目の攻略法】エビングハウスの忘却曲線を活用！①学習直後②1日後③1週間後 このタイミングで復習すると記憶が定着します。#勉強法 #暗記 #高校受験,🧠効率的な暗記法🧠【エビングハウスの忘却曲線活用術】最適な復習タイミング：📍20分後（小テスト）📍1日後（前日の復習）📍1週間後（週末復習）📍1ヶ月後（定期テスト）少人数制授業ではこの復習サイクルを授業に組み込んでいます！暗記が苦手な人も大丈夫👍 #暗記法 #勉強法 #記憶術 #高校受験,予約済み,FALSE,
6月11日 - 合格体験談,2025/06/11,合格体験談,【転塾して良かった】「大手塾では埋もれていた私もここでは主役になれました」S高校合格のKくん。少人数制で自信を取り戻し見事第一志望に合格！#合格体験談 #転塾 #少人数制,✨転塾成功ストーリー✨ S高校合格Kくんの体験談「大手塾では質問もできずただ座っているだけでした。」「この塾に来てから先生が名前を呼んで指導してくれることに感動しました。」「少人数だから仲間と切磋琢磨できる環境も良かったです。」転塾をお考えの方ぜひ一度見学に！#転塾 #合格体験談 #少人数制塾,予約済み,FALSE,
6月12日 - 重要ポイント,2025/06/12,重要ポイント,【理科の実験問題対策】図やグラフの読み取りがカギ！①実験の目的を理解②変化の要因を特定③結果から考察 少人数制で実験の本質から指導します。#理科 #実験 #高校受験,🔬理科実験問題の攻略法🔬 実験問題で差をつける！💡解法のコツ 1.実験の目的を明確に 2.条件の違いに注目 3.グラフは縦軸・横軸から 4.考察は論理的に 当塾では実際に簡単な実験も実施！少人数だから全員が体験できます。理科を得点源にしよう！#理科 #実験問題 #高校受験,予約済み,FALSE,
6月13日 - 入試情報,2025/06/13,入試情報,【私立高校の推薦入試】内申点だけでなく面接も重要！当塾では少人数制を活かした面接練習も実施。一人ひとりの個性を引き出す指導を行います。#推薦入試 #面接対策 #私立高校,🏫私立推薦入試情報🏫【面接対策のポイント】頻出質問：❓志望動機 ❓中学校で頑張ったこと ❓将来の夢 ❓長所と短所 少人数制だから：✅1対1の面接練習 ✅個性を活かした回答作成 ✅本番さながらの模擬面接 推薦入試もしっかりサポート！#推薦入試 #面接対策 #私立高校,下書き,FALSE,
