タイトル,投稿日,カテゴリー,Twitter,Instagram,ステータス,AI生成,メモ
6月1日 - 週末の勉強法,2025/06/01,勉強法,【週末の効率的な学習法】\n土日こそ差がつく時期！\n当塾では週末特別講座も実施。少人数制だから一人ひとりの進度に合わせた指導が可能です。\n\n#高校受験 #週末勉強 #少人数制塾,📚週末の勉強法📚\n\n土日の時間を有効活用しましょう！\n\n✅ 朝型学習のススメ\n✅ 苦手科目の集中対策\n✅ 1週間の復習時間確保\n\n少人数制の当塾では、週末も個別フォローを実施しています。\n\n#高校受験 #勉強法 #週末学習 #少人数制塾 #個別指導,予約済み,TRUE,土曜日投稿
6月2日 - 塾の特徴,2025/06/02,塾の特徴,【少人数制のメリット】\n大手塾では質問しづらい…そんな悩みを解決！\n当塾は1クラス最大8名。全員の理解度を確認しながら授業を進めます。\n\n#少人数制 #高校受験塾 #個別対応,🏫少人数制学習塾の強み🏫\n\n当塾が選ばれる理由：\n\n1️⃣ 1クラス最大8名の少人数制\n2️⃣ 質問しやすい環境\n3️⃣ 個々の理解度に合わせた指導\n4️⃣ アットホームな雰囲気\n5️⃣ 保護者との密な連携\n\n見学・体験授業受付中！\n\n#少人数制塾 #高校受験 #個別指導 #塾選び,予約済み,TRUE,日曜日の定番投稿
6月3日 - 勉強法,2025/06/03,勉強法,【月曜日のモチベーション】\n新しい1週間の始まり！\n今週の目標を明確にして、計画的に学習を進めましょう。当塾では週間学習計画の立て方も指導します。\n\n#月曜日 #勉強法 #高校受験,💪月曜日のスタートダッシュ💪\n\n新しい週の始まり！\n今週の学習目標を立てましょう。\n\n📝 週間計画のポイント\n・具体的な目標設定\n・優先順位をつける\n・予備時間も確保\n・小さな達成感を大切に\n\n少人数制だから、一人ひとりの週間計画もサポートします！\n\n#月曜日 #勉強法 #週間計画 #高校受験,予約済み,TRUE,月曜定番
6月4日 - 合格体験談,2025/06/04,合格体験談,【合格者の声】\n「少人数制だから先生との距離が近く、分からないことをすぐ聞けました」\n昨年度T高校合格のMさん。質問しやすい環境が合格の鍵でした！\n\n#合格体験談 #高校受験 #少人数制,🎊合格体験記🎊\n\n昨年度T高校合格 Mさんの声\n\n「大手塾から転塾して正解でした。少人数制なので、恥ずかしがらずに質問できる環境が私には合っていました。」\n\n「先生が一人ひとりの苦手を把握してくれているので、効率的に勉強できました。」\n\n次はあなたの番です！✨\n\n#合格体験談 #高校受験 #少人数制塾 #転塾,予約済み,TRUE,実際の生徒の声を編集
6月5日 - 重要ポイント,2025/06/05,重要ポイント,【今週の数学ポイント】\n連立方程式の文章題攻略法！\n①問題文を図式化\n②未知数を設定\n③式を立てる\n少人数制なら、つまずきポイントも個別フォロー。\n\n#数学 #連立方程式 #高校受験,📐今週の重要ポイント解説📐\n\n【連立方程式の文章題】\n\n苦手な人が多い単元ですが、コツを掴めば得点源に！\n\n✏️ 解法のステップ\n1. 問題文を整理（図や表に）\n2. 求めるものをx,yとする\n3. 条件から式を2つ作る\n4. 計算して検証\n\n少人数制授業で丁寧に解説します！\n\n#数学 #連立方程式 #高校受験 #重要ポイント,予約済み,TRUE,今週の授業内容に合わせて
6月6日 - 入試情報,2025/06/06,入試情報,【2025年度入試トレンド】\n英語の長文読解が年々長文化！\n速読力と要点把握力が合否を分けます。当塾では個々のレベルに合わせた長文対策を実施中。\n\n#入試情報 #英語 #高校受験2025,📊2025年度入試情報📊\n\n【英語の出題傾向】\n\n近年の変化：\n📈 長文の語数増加（平均800語→1000語）\n📈 実用的な題材の増加\n📈 記述問題の配点UP\n\n対策ポイント：\n・毎日10分の音読習慣\n・キーワード読みの練習\n・時間配分の訓練\n\n少人数制で個別の読解スピードに対応！\n\n#入試情報 #英語 #高校受験 #2025年度入試,予約済み,TRUE,最新の入試動向を反映
6月7日 - モチベーション,2025/06/07,モチベーション,【金曜日の応援メッセージ】\n1週間お疲れさま！\n勉強は積み重ね。今週できるようになったことを振り返ってみましょう。小さな成長も大きな一歩です🌟\n\n#頑張れ受験生 #金曜日 #応援,🌟金曜日の応援メッセージ🌟\n\n今週も頑張りました！\n\n振り返ってみましょう：\n✅ 新しく理解できたこと\n✅ 克服できた苦手\n✅ 継続できた習慣\n\nどんな小さな進歩も、合格への確実な一歩です。\n\n週末も一緒に頑張りましょう！💪\n\n#金曜日 #応援メッセージ #高校受験 #モチベーション,予約済み,TRUE,週末前の励まし
6月8日 - 保護者向け,2025/06/08,保護者向け,【保護者の皆様へ】\n受験期のお子様の体調管理について。\n睡眠時間の確保と栄養バランスが大切です。当塾では学習面だけでなく、生活面のアドバイスも行っています。\n\n#保護者向け #受験サポート,👨‍👩‍👧‍👦保護者の皆様へ👨‍👩‍👧‍👦\n\n【受験期の体調管理】\n\n お子様の健康が第一です：\n\n🍙 栄養バランスの良い食事\n😴 最低6時間の睡眠確保\n🏃 適度な運動でリフレッシュ\n💊 予防接種の確認\n🌡️ 体調変化の早期発見\n\n少人数制だからこそ、お子様の体調変化にも気を配っています。\n\nご心配事はいつでもご相談ください。\n\n#保護者サポート #体調管理 #高校受験,予約済み,TRUE,保護者との連携重視
6月9日 - 塾の特徴,2025/06/09,塾の特徴,【日曜特別講座のご案内】\n少人数制を活かした弱点克服講座を開催！\n1人ひとりの苦手分野に特化した指導で、効率的な学力向上を目指します。\n\n#日曜講座 #少人数制 #個別対応,📚日曜特別講座📚\n\n少人数制だからできる特別プログラム：\n\n🎯 弱点克服コース\n🎯 応用力養成コース\n🎯 過去問演習コース\n\n各コース最大6名まで！\n\n一人ひとりの課題に向き合い、確実な成績向上を目指します。\n\n詳細はお問い合わせください📞\n\n#日曜講座 #少人数制 #特別講座 #高校受験,予約済み,TRUE,特別講座の告知
6月10日 - 勉強法,2025/06/10,勉強法,【暗記科目の攻略法】\nエビングハウスの忘却曲線を活用！\n①学習直後\n②1日後\n③1週間後\nこのタイミングで復習すると記憶が定着します。\n\n#勉強法 #暗記 #高校受験,🧠効率的な暗記法🧠\n\n【エビングハウスの忘却曲線活用術】\n\n最適な復習タイミング：\n📍 20分後（小テスト）\n📍 1日後（前日の復習）\n📍 1週間後（週末復習）\n📍 1ヶ月後（定期テスト）\n\n少人数制授業では、この復習サイクルを授業に組み込んでいます！\n\n暗記が苦手な人も大丈夫👍\n\n#暗記法 #勉強法 #記憶術 #高校受験,予約済み,FALSE,
6月11日 - 合格体験談,2025/06/11,合格体験談,【転塾して良かった】\n「大手塾では埋もれていた私も、ここでは主役になれました」\nS高校合格のKくん。少人数制で自信を取り戻し、見事第一志望に合格！\n\n#合格体験談 #転塾 #少人数制,✨転塾成功ストーリー✨\n\nS高校合格 Kくんの体験談\n\n「大手塾では質問もできず、ただ座っているだけでした。」\n\n「この塾に来てから、先生が名前を呼んで指導してくれることに感動しました。」\n\n「少人数だから、仲間と切磋琢磨できる環境も良かったです。」\n\n転塾をお考えの方、ぜひ一度見学に！\n\n#転塾 #合格体験談 #少人数制塾,予約済み,FALSE,
6月12日 - 重要ポイント,2025/06/12,重要ポイント,【理科の実験問題対策】\n図やグラフの読み取りがカギ！\n①実験の目的を理解\n②変化の要因を特定\n③結果から考察\n少人数制で実験の本質から指導します。\n\n#理科 #実験 #高校受験,🔬理科実験問題の攻略法🔬\n\n実験問題で差をつける！\n\n💡 解法のコツ\n1. 実験の目的を明確に\n2. 条件の違いに注目\n3. グラフは縦軸・横軸から\n4. 考察は論理的に\n\n当塾では実際に簡単な実験も実施！\n少人数だから全員が体験できます。\n\n理科を得点源にしよう！\n\n#理科 #実験問題 #高校受験,予約済み,FALSE,
6月13日 - 入試情報,2025/06/13,入試情報,【私立高校の推薦入試】\n内申点だけでなく、面接も重要！\n当塾では少人数制を活かした面接練習も実施。一人ひとりの個性を引き出す指導を行います。\n\n#推薦入試 #面接対策 #私立高校,🏫私立推薦入試情報🏫\n\n【面接対策のポイント】\n\n頻出質問：\n❓ 志望動機\n❓ 中学校で頑張ったこと\n❓ 将来の夢\n❓ 長所と短所\n\n少人数制だから：\n✅ 1対1の面接練習\n✅ 個性を活かした回答作成\n✅ 本番さながらの模擬面接\n\n推薦入試もしっかりサポート！\n\n#推薦入試 #面接対策 #私立高校,下書き,FALSE,
6月14日 - モチベーション,2025/06/14,モチベーション,【金曜日のエール】\n今週も本当によく頑張りました！\n週末は適度にリフレッシュして、来週への英気を養いましょう。継続は力なり💪\n\n#金曜日 #応援 #高校受験生,🎉金曜日お疲れさまメッセージ🎉\n\n今週の頑張りを称えよう！\n\n🏆 小さな成功体験\n・毎日勉強を続けた\n・苦手問題に挑戦した\n・質問する勇気を出した\n\nどれも素晴らしい成長です！\n\n週末のおすすめ：\n📖 好きな教科を楽しく\n🚶 散歩でリフレッシュ\n😴 しっかり睡眠\n\n来週も一緒に頑張ろう！\n\n#金曜日 #お疲れさま #高校受験,下書き,FALSE,
6月15日 - 保護者向け,2025/06/15,保護者向け,【進路相談会のお知らせ】\n少人数制だから可能な、じっくり個別相談。\nお子様の現状と目標を踏まえ、最適な進路をご提案します。お気軽にご予約ください。\n\n#進路相談 #保護者 #個別相談,📋進路相談会のご案内📋\n\n保護者様との個別相談会を実施します\n\n🗓 日程：随時受付中\n⏰ 時間：1組60分（じっくり相談）\n\n相談内容：\n・現在の学力と志望校\n・併願校の選定\n・今後の学習計画\n・ご家庭での接し方\n\n少人数制学習塾だからこそ、一人ひとりに寄り添った進路指導が可能です。\n\n#進路相談 #個別相談 #保護者向け,下書き,FALSE,
6月16日 - 塾の特徴,2025/06/16,塾の特徴,【少人数制学習塾の1日】\n8:00 朝学習（希望者）\n16:00 通常授業（最大8名）\n19:00 個別質問タイム\n一人ひとりに目が届く環境です！\n\n#塾の1日 #少人数制 #時間割,⏰少人数制塾の1日⏰\n\n【密着！塾の時間割】\n\n📍8:00-9:00 朝学習\n静かな環境で集中学習\n\n📍16:00-18:00 通常授業\n最大8名でしっかり理解\n\n📍18:00-19:00 夕食休憩\n塾内で食事OK\n\n📍19:00-21:00 演習＆質問\n分からないことは即解決\n\n少人数だから実現できる、きめ細かなサポート体制です！\n\n#少人数制塾 #時間割 #1日の流れ,下書き,FALSE,
6月17日 - 勉強法,2025/06/17,勉強法,【月曜日の学習リズム】\n週の始まりは基礎の確認から！\n前週の復習→新単元→演習のサイクルで確実に定着。少人数制で個々のペースに対応します。\n\n#月曜日 #勉強法 #学習リズム,🔄月曜日の学習サイクル🔄\n\n効果的な月曜日の過ごし方：\n\n1️⃣ 朝：前週の復習（30分）\n2️⃣ 放課後：新しい単元（塾）\n3️⃣ 夜：今日の復習（30分）\n\nポイント：\n✅ 無理のないスタート\n✅ 復習を大切に\n✅ 早めに学習リズムを\n\n少人数制授業で、月曜日から集中できる環境を提供します！\n\n#月曜日 #学習法 #勉強リズム,下書き,FALSE,
6月18日 - 合格体験談,2025/06/18,合格体験談,【少人数制で変わった】\n「8人クラスで全員がライバルであり仲間。お互いに高め合えました」\nH高校合格のAさん。競争と協力のバランスが成長の鍵！\n\n#合格体験談 #少人数制 #仲間,🤝少人数制の絆🤝\n\nH高校合格 Aさんの声\n\n「8人という絶妙な人数。全員の顔と名前、得意不得意まで知っている仲間たち。」\n\n「テスト前は教え合い、励まし合い。大手塾では味わえない一体感がありました。」\n\n「卒業後も連絡を取り合う、一生の友達ができました。」\n\n勉強だけじゃない、人間関係も学べる場所です。\n\n#合格体験談 #少人数制 #仲間との絆,下書き,FALSE,
6月19日 - 重要ポイント,2025/06/19,重要ポイント,【社会の記述問題対策】\nキーワードを押さえた解答を！\n①問題文の要求を正確に把握\n②必要な要素を箇条書き\n③文章化\n少人数制で添削指導も充実。\n\n#社会 #記述問題 #高校受験,📝社会科記述問題の極意📝\n\n【高得点を狙う記述テクニック】\n\n✍️ 記述の型：\n1. 結論を先に\n2. 理由・根拠を明確に\n3. 具体例で補強\n4. 指定語句は必ず使用\n\n当塾の対策：\n・週1回の記述特訓\n・個別添削指導\n・模範解答の分析\n\n少人数だから全員の答案をしっかりチェック！\n\n#社会 #記述対策 #高校受験,下書き,FALSE,
6月20日 - 入試情報,2025/06/20,入試情報,【公立高校入試まであと8ヶ月】\nそろそろ志望校を意識した対策を！\n当塾では少人数制を活かし、志望校別の対策クラスも開講。効率的な受験勉強をサポートします。\n\n#入試カウントダウン #志望校対策,⏳入試まであと8ヶ月⏳\n\n【この時期にやるべきこと】\n\n📌 6月：基礎固め\n📌 7月：弱点克服\n📌 8月：総復習\n📌 9月：応用力養成\n\n志望校別対策：\n🏫 トップ校対策クラス\n🏫 中堅校対策クラス\n🏫 推薦入試対策クラス\n\n各クラス6名限定！\n少人数で効率的な志望校対策を。\n\n#入試対策 #カウントダウン #志望校別,下書き,FALSE,
6月21日 - モチベーション,2025/06/21,モチベーション,【週末への活力】\n今週もあと少し！\n疲れた時こそ、なりたい自分を思い描いて。志望校合格の先にある未来を想像すると、力が湧いてきますよ✨\n\n#金曜日 #モチベーション #未来,✨金曜日の希望メッセージ✨\n\n【未来の自分へ】\n\n想像してみてください：\n\n🌸 志望校の制服を着た自分\n🌸 新しい友達との出会い\n🌸 やりたい部活動\n🌸 夢への第一歩\n\nその未来は、今日の努力の先にあります。\n\n週末まであと少し！\n最後まで一緒に頑張りましょう💪\n\n#金曜日 #未来への希望 #モチベーション,下書き,FALSE,
6月22日 - 保護者向け,2025/06/22,保護者向け,【受験生の親としてできること】\n①規則正しい生活リズムのサポート\n②栄養バランスの良い食事\n③話を聞く時間を作る\n少人数制塾として、ご家庭とも密に連携します。\n\n#保護者 #受験サポート #連携,👨‍👩‍👧‍👦保護者様ができるサポート👨‍👩‍👧‍👦\n\n【受験生の親として】\n\n✅ 生活面のサポート\n・早寝早起きの習慣づけ\n・栄養満点の食事\n・適度な運動の機会\n\n✅ 精神面のサポート\n・頑張りを認める言葉\n・プレッシャーをかけない\n・話を聞く姿勢\n\n少人数制塾だから、保護者様とも密にコミュニケーション。\n一緒にお子様を支えましょう！\n\n#保護者サポート #受験 #家庭との連携,下書き,FALSE,
6月23日 - 塾の特徴,2025/06/23,塾の特徴,【体験授業受付中】\n少人数制の良さを実感してください！\n実際の授業に参加して、質問のしやすさ、理解度の確認方法などを体験。お気軽にお申し込みを。\n\n#体験授業 #少人数制 #塾選び,🎯体験授業のご案内🎯\n\n【少人数制を体感しよう】\n\n体験できること：\n📚 実際の授業参加\n👥 8人クラスの雰囲気\n❓ 質問のしやすさ\n📝 理解度チェック方法\n\n体験者の声：\n「想像以上にアットホーム」\n「すぐに質問できて驚いた」\n「他の生徒も優しかった」\n\nまずは体験から！\nお申し込みはプロフィールのリンクから。\n\n#体験授業 #少人数制塾 #塾選び,下書き,FALSE,
